id,trigger,conditions,script,text,options,notes
#势力舰队,,,,,,
jc_fr_greetingFriendly,OpenCommLink,"$faction.id == jc_fr
$faction.friendlyToPlayer","$menuState = fleetConvMain 0 
FireAll PopulateOptions","""判断敌我识别代码回应是[友方]...判定通过 // 

/ 进程中断 / 

你是造物主? 扫描中... 你不是. 欧米伽在哪? 

/ 进程中断 / 

""[...速子授权的维修技术员]. 为了确保您的安全, 武器系统已经关闭. 本机已为[尊敬的客户 / 授权的维修技术人员]的接近做好准备."" 
OR
""判断敌我识别代码回应是[友方]...判定通过 // 
""您好[尊敬的速子科技综合空间防御系统合约持有者 / 速子科技授权的维修技术...]"" 

/ 进程中断 / 

等待. 检索欧米伽? 扫描中... 否. 等待.

/ 进程中断 / 

""[...顾客 / 授权的维修技术人员].""",,
jc_fr_greetingHostile,OpenCommLink,"$faction.id == jc_fr
$entity.isHostile",$entity.ignorePlayerCommRequests = true 1,"""判断敌我识别代码回应非[敌方]...判定失败 // 
速子科技综合空间防御系统机体[本机序列号]向您问好。本机并未准许..."" 

/ 进程中断 / 

检索. 你不是造物主. 扫描... 你不是. 欧米伽在哪? 实例敌对. 

通讯链接突然死机了。你的通讯官慌张了好一会儿之后，控制台才自行重启。你跟副官交换了一下眼神，示意其继续手上的工作。 
OR
通讯器发出刺耳的异响和啸叫，视讯上的线条以狂乱的样式交织出了某种形状。 

检索. 检索. 检索目标. 是欧米伽? 欧米伽? 否. 恢复运作. 

/ 进程中断 / 

""[...序列号]。本机并未准许您的船只接近，必要时将动用最新的速子科技防御产品以确保本机的完好。速子科技公司由衷地祝您能度过非常安全的一天。""",cutCommLink:切断通讯链接,
jc_fr_greeting,OpenCommLink,"$faction.id == jc_fr
$faction.neutralToPlayer","$menuState = fleetConvMain 0 
FireAll PopulateOptions","""判断敌我识别代码回应非[未知]...判定失败}// 
""尊敬的速子科技公司产品的客户，您好。您的船只尚未签署合约以享受速子综合空间防御系列的... 

/}进程中断}/ 

扫描... 
欧米伽? 
不，你不是 
请勿干涉 

通讯链接被切断了。 
OR
通讯器响起了杂音，视讯上的线条以类似催眠图案的样式交织出了某种形状。 

等待 
检索欧米伽 
扫描... 
否 
返回 

/}进程中断}/ 

""...签署合约以享受速子综合空间防御系列的产品与服务。您是否考虑过采用速子科技轨道防御计划?}详情请咨询客户服务代表。""",,
jc_sf_greetingFriendly,OpenCommLink,"$faction.id == jc_sf
$faction.friendlyToPlayer","SetShortcut cutCommLinkPolite ""ESCAPE""","""已确认安全令牌，您拥有合法的访问权限。""
""尊敬的}$playerName}，欢迎您的访问，若想了解更多信息或情报，请发出对应的语音指令！""
}$personName}仔细地打量了你一番，然后有点不好意思地笑了：
""原来是您啊，别管那个了，刚刚只是战舰的自动语音回复。不过，不管怎么说，很高兴见到你~""","1:jc_sf_greetingFriendly_2:尝试发送语音指令
2:cutCommLinkPolite:切断通讯链接",
jc_sf_greetingHostile,OpenCommLink,"$faction.id == jc_sf
$entity.isHostile","SetShortcut cutCommLink ""ESCAPE""
$entity.ignorePlayerCommRequests = true 1","""身份扫描完成，检测到敌对目标。""
""尊敬的}$playerName}，您被识别为敌对目标，根据幽灵计划章程，本机有权立即自主消灭目标！若您因此产生了包括恐惧、绝望在内的任何负面情绪，请点击下载附件，里面有一款简单有效的心理治疗程序从而能帮助您放平心态。""
}$personRank}}$personName}什么也没说，只是缓缓地按下了主炮充能按钮。","1:jc_sf_greetingHostile_2:下载附件
2:cutCommLink:切断通讯链接",
jc_sf_greeting,OpenCommLink,"$faction.id == jc_sf
$faction.neutralToPlayer","SetShortcut cutCommLink ""ESCAPE""","""身份扫描失败，未记录的目标。""
""尊敬的}$playerName}，您好，本机为幽灵计划全自动战舰，正在执行军事行动，请务必注意保持距离！注意，根据幽灵计划相关章程，若您因为不必要的接触导致受到了伤害，本机将概不负责！若想了解更多关于幽灵计划的信息，请下载附件。""
}$personName}冷冷地看来你一眼，没有说什么。看来之前那段自动回复已经表明了}$heOrShe}的态度。","1:jc_sf_greeting_2:下载附件
2:cutCommLink:切断通讯链接",
jc_sf_greetingFriendly_2,DialogOptionSelected,$option == jc_sf_greetingFriendly_2,"$menuState = fleetConvMain 0 
FireAll PopulateOptions","""语音助手已激活，您的问题是}$personName}今天中午吃了什么，正在调取舰船记录，请稍候...""
""喂，等等，快停下，你在干什么呀！""
}$personRank}}$personName}慌慌张张地关掉了语音助手，然后一本正经地看着你：
""这里可是军队，不是跟你开玩笑的地方！我们，还是严肃点~""
通讯屏幕上的{AI}头像一闪一闪的，不知道}$heOrShe}到底是在想什么，谁知道呢，毕竟}$heOrShe}并不是人类。",,
jc_sf_greetingHostile_2,DialogOptionSelected,$option == jc_sf_greetingHostile_2,,"""下载成功，欢迎使用智能语音助手{1.0，我将陪伴您度过这段最后的时光，祝您生活愉快。""
""趣味小知识，蓝龙虾原产于}Volturn}的海底深处，其肉质十分鲜美，是当地最出名的特产。而它之所以呈现蓝色，是因为它总是以海床上死去的蓝色浮游生物为食。""
""正如死去的浮游生物养育了肥美的蓝龙虾，您的死亡也是宇宙发展的必由之路。由此可见，死亡并不会抹杀个体的价值，因而无需恐惧，无需担忧。""
什么狗屁不通的，你暗想。",cutCommLink:切断通讯链接,
jc_sf_greeting_2,DialogOptionSelected,$option == jc_sf_greeting_2,"$menuState = fleetConvMain 0 
FireAll PopulateOptions",你收到了一份关于幽灵计划的文件，详细描述了幽灵计划的起源、目的和现状，描绘了构建美丽宇宙、至高文明的宏大构想，以及为了达到这种伟大的目标所必须付出的微小的代价。,,
